S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
522,2022-06-01 18:25:00,C13475277624,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:12:00
529,2022-06-01 18:28:00,C13473883889,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:55:00
530,2022-06-01 18:28:00,C13475634585,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:52:00
528,2022-06-01 18:28:00,C13565693198,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:51:00
532,2022-06-01 18:29:00,C13469889273,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:55:00
537,2022-06-01 18:31:00,C13470943633,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:09:00
539,2022-06-01 18:33:00,C13472552209,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 23:51:00
544,2022-06-01 18:36:00,C13472988197,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:56:00
545,2022-06-01 18:36:00,C13474874355,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:50:00
548,2022-06-01 18:37:00,C13466935254,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 21:57:00
553,2022-06-01 18:39:00,C13060118886,1.11E+15,,Hourly         ,$1.50 ,2022-06-01 22:54:00
551,2022-06-01 18:39:00,C13372300578,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:52:00
557,2022-06-01 18:40:00,C13472016182,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 19:43:00
564,2022-06-01 18:43:00,C13475158080,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 23:11:00
561,2022-06-01 18:43:00,C13474179472,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 21:52:00
562,2022-06-01 18:43:00,C13472481250,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:57:00
566,2022-06-01 18:44:00,C13472703308,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:28:00
569,2022-06-01 18:44:00,C13473636450,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 20:26:00
570,2022-06-01 18:44:00,C13473779735,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:28:00
572,2022-06-01 18:45:00,C13470064654,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:52:00
575,2022-06-01 18:47:00,C13472296219,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:53:00
578,2022-06-01 18:50:00,C13565818689,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 20:47:00
583,2022-06-01 18:52:00,C13473783125,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:58:00
582,2022-06-01 18:52:00,C13566431012,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 23:00:00
584,2022-06-01 18:52:00,C13471744684,0,,Season         ,$0.00 ,2022-06-01 22:16:00
586,2022-06-01 18:54:00,C13566093917,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 20:39:00
590,2022-06-01 18:56:00,C13475308370,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:35:00
