S/NO.,TIME,STATION,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT
420,3/6/22 09:44,Entry     ,C13474802710,0,,Season         ,$0.00 
421,3/6/22 09:44,Entry     ,C13472313330,0,,Season         ,$0.00 
422,3/6/22 09:45,Entry     ,C13472504781,0,,Hourly         ,$0.00 
423,3/6/22 09:45,Entry     ,C13565816759,0,,Hourly         ,$0.00 
424,3/6/22 09:45,Entry     ,C13474577908,0,,Season         ,$0.00 
425,3/6/22 09:45,Entry     ,C13473787109,0,,Season         ,$0.00 
426,3/6/22 09:56,Exit      ,C13469187669,1.11E+15,,Hourly         ,$0.76 
427,3/6/22 09:59,Exit      ,C13566220473,1.11E+15,,Hourly         ,$1.12 
428,3/6/22 10:13,Entry     ,C13473134123,0,,Season         ,$0.00 
429,3/6/22 10:20,Entry     ,C13471898882,0,,Hourly         ,$0.00 
430,3/6/22 10:25,Entry     ,C13473132573,0,,Season         ,$0.00 
431,3/6/22 10:47,Exit      ,C13470650172,0,,Season         ,$0.00 
432,3/6/22 10:54,Entry     ,C13472048793,0,,Hourly         ,$0.00 
433,3/6/22 11:01,Exit      ,C13472048793,0,,Hourly         ,$0.00 
434,3/6/22 11:02,Entry     ,C13475305837,0,,Hourly         ,$0.00 
435,3/6/22 11:12,Entry     ,C13475521758,0,,Hourly         ,$0.00 
436,3/6/22 11:26,Exit      ,C13472559297,0,,Season         ,$0.00 
437,3/6/22 11:27,Exit      ,C13475305837,1.11E+15,,Hourly         ,$1.25 
438,3/6/22 11:36,Exit      ,C13471054099,0,,Season         ,$0.00 
439,3/6/22 11:37,Entry     ,C13566091244,0,,Season         ,$0.00 
440,3/6/22 11:50,Exit      ,C13472907504,0,,Season         ,$0.00 
441,3/6/22 11:53,Exit      ,C13474601064,0,,Season         ,$0.00 
442,3/6/22 12:13,Exit      ,C13565903053,0,,Season         ,$0.00 
443,3/6/22 12:19,Exit      ,C13471898882,1.11E+15,,Hourly         ,$5.60 
444,3/6/22 12:20,Entry     ,C13471899345,0,,Hourly         ,$0.00 
445,3/6/22 12:20,Exit      ,C13474437302,0,,Season         ,$0.00 
446,3/6/22 12:22,Exit      ,C13473770570,0,,Season         ,$0.00 
447,3/6/22 12:26,Exit      ,C13470818099,0,,Season         ,$0.00 
448,3/6/22 12:30,Entry     ,C13472839887,0,,Season         ,$0.00 
449,3/6/22 12:30,Entry     ,C13470650172,0,,Season         ,$0.00 
450,3/6/22 12:41,Exit      ,C13474031805,0,,Season         ,$0.00 
451,3/6/22 12:52,Exit      ,C13471638926,1.11E+15,,               ,$7.71 
452,3/6/22 13:04,Entry     ,C13467312963,0,,Hourly         ,$0.00 
453,3/6/22 13:05,Entry     ,C13566354347,0,,Hourly         ,$0.00 
